Name,ID,Bundesland,VAP,Total votes,Number of valid erst stimmen,Number of valid zweit stimmen,Turnout,CDU Erst stimmen,CDU Zweit stimmen,CDU % Erst stimmen,CDU % Zweit stimmen,SPD Erst stimmen,SPD Zweit stimmen,SPD % Erst stimmen,SPD % Zweit stimmen,Linke Erst stimmen,Linke Zweit stimmen,Linke % Erst stimmen,Linke % Zweit stimmen,Grüne Erst stimmen,Grüne Zweit stimmen,Grüne % Erst stimmen,Grüne % Zweit stimmen,CSU Erst stimmen,CSU Zweit stimmen,CSU % Erst stimmen,CSU % Zweit stimmen,FDP Erst stimmen,FDP Zweit stimmen,FDP % Erst stimmen,FDP % Zweit stimmen,AfD Erst stimmen,AfD Zweit stimmen,AfD % Erst stimmen,AfD % Zweit stimmen,Other Erst stimmen,Other Zweit stimmen,Other % Erst stimmen,Other % Zweit stimmen
Karlsruhe-Stadt,271,BW,205608,159572,158228,158461,0.7760982063,30920,27996,0.1954142124,0.1766743868,33629,33827,0.212535076,0.2134720846,7957,8910,0.05028819172,0.05622834641,47472,44011,0.300022752,0.2777402642,,,,,15789,20613,0.09978638421,0.1300824809,10808,10773,0.06830649443,0.06798518247,11653,12331,0.0736468893,0.07781725472
Karlsruhe-Land,272,BW,209147,167922,166261,166633,0.8028898335,50581,42831,0.3042264873,0.2570379217,37948,38474,0.2282435448,0.2308906399,4040,4483,0.02429914412,0.02690343449,27755,26969,0.166936323,0.161846693,,,,,19066,24660,0.1146751192,0.147989894,14964,15869,0.09000306747,0.09523323711,11907,13347,0.07161631411,0.08009817983
Rastatt,273,BW,204890,155331,153595,153801,0.7581189907,50991,41499,0.331983463,0.269822693,34847,36443,0.2268758749,0.2369490445,4212,4280,0.02742276767,0.02782816757,19962,21926,0.1299651681,0.1425608416,,,,,17764,21250,0.1156548065,0.1381655516,16454,16331,0.107125883,0.1061826646,9365,12072,0.06097203685,0.07849103712
Heidelberg,274,BW,218432,177895,176638,176805,0.8144182171,42582,36783,0.2410693056,0.208042759,35603,40276,0.2015591209,0.2277989876,6987,8624,0.03955547504,0.04877690111,53288,45314,0.3016791404,0.2562936569,,,,,15906,23240,0.09004857392,0.1314442465,10823,10821,0.06127220643,0.06120302028,11449,11747,0.06481617772,0.06644042872
Mannheim,275,BW,196861,142152,140782,140952,0.7220932536,27981,25671,0.1987541021,0.1821258301,37099,35657,0.2635209047,0.2529726432,6825,7066,0.04847920899,0.05013054089,31721,29809,0.2253199983,0.2114833418,,,,,14888,18518,0.1057521558,0.1313780578,13772,12843,0.09782500604,0.09111612464,8496,11388,0.06034862411,0.0807934616
Odenwald - Tauber,276,BW,209417,162049,160250,160493,0.7738101491,57391,48866,0.3581341654,0.3044743384,33083,35578,0.2064461778,0.2216794502,3722,4084,0.02322620905,0.02544659269,17695,17747,0.1104212168,0.1105780314,,,,,15549,20942,0.09702964119,0.1304854417,19372,19208,0.1208861154,0.1196812322,13438,14068,0.08385647426,0.0876549133
Rhein-Neckar,277,BW,196882,153550,151923,152107,0.7799087778,43307,38731,0.2850588785,0.2546299644,41055,35711,0.2702355799,0.2347755199,3989,4298,0.02625672216,0.02825642475,22607,23973,0.148805645,0.1576061588,,,,,17699,21861,0.1164998058,0.1437211963,15250,15647,0.1003797977,0.1028683756,8016,11886,0.05276357102,0.07814236031
Bruchsal - Schwetzingen,278,BW,195755,152242,150198,150775,0.7777170443,44465,38866,0.2960425572,0.25777483,32834,34433,0.218604775,0.2283734041,3854,4125,0.02565946284,0.02735864699,22154,20858,0.1474986351,0.138338584,,,,,17635,21978,0.1174116832,0.1457668712,17352,17461,0.1155275037,0.1158083237,11904,13054,0.07925538289,0.08657934008
Pforzheim,279,BW,217126,163987,162539,162622,0.7552619216,46289,39323,0.2847870357,0.2418061517,33956,34261,0.2089098616,0.210678752,3772,4342,0.02320673808,0.0266999545,20679,21213,0.1272248507,0.1304436054,,,,,20631,26506,0.1269295369,0.1629914772,22943,22030,0.1411538154,0.1354675259,14269,14947,0.08778816161,0.09191253336
Calw,280,BW,198737,152949,151518,151586,0.7696050559,51214,42847,0.3380060455,0.2826580291,26113,28572,0.17234256,0.1884870634,2998,3656,0.01978642802,0.02411832227,17713,17302,0.1169036022,0.1141398282,,,,,22681,26760,0.1496917858,0.176533453,18668,19473,0.1232064837,0.1284617313,12131,12976,0.08006309481,0.0856015727
Freiburg,281,BW,224392,180976,179762,179874,0.8065171664,37109,31300,0.2064340628,0.1740106964,47197,38183,0.2625527086,0.2122763712,9604,12429,0.05342619686,0.06909836886,51777,56861,0.2880308408,0.3161157255,,,,,13833,19144,0.07695174731,0.1064300566,8107,8854,0.04509851915,0.04922334523,12135,13103,0.0675059245,0.07284543625
Lörrach - Müllheim,282,BW,231077,174159,172342,172564,0.753683837,43511,38499,0.2524689281,0.2230998354,37494,41834,0.2175557902,0.2424259985,4580,5532,0.02657506586,0.03205767136,35557,32818,0.2063165102,0.1901787163,,,,,24430,24667,0.141753026,0.1429440671,13981,14195,0.08112357986,0.08225933567,12789,15019,0.07420709984,0.08703437565
Emmendingen - Lahr,283,BW,218963,168029,166658,166570,0.7673853573,46410,41326,0.2784744807,0.2480998979,46318,39728,0.277922452,0.2385063337,4917,5205,0.02950353418,0.03124812391,23345,28723,0.140077284,0.172438014,,,,,16622,22136,0.09973718633,0.132893078,14397,14969,0.0863864921,0.08986612235,14649,14483,0.08789857073,0.08694843009
Offenburg,284,BW,205893,156796,155137,155193,0.7615411889,54139,40211,0.3489754217,0.2591031812,29002,33042,0.1869444427,0.2129090874,4253,4423,0.02741447882,0.02849999678,21719,23082,0.1399988397,0.148730935,,,,,16688,22799,0.1075694386,0.1469073992,13875,15319,0.0894370782,0.098709349,15461,16317,0.09966030025,0.1051400514
Rottweil - Tuttlingen,285,BW,198182,149673,147831,147806,0.7552300411,46535,40818,0.3147851263,0.2761592899,23988,27523,0.1622663717,0.1862103027,3176,3319,0.02148399186,0.02245511008,18182,16036,0.1229917947,0.1084935659,,,,,24782,26768,0.1676373697,0.1811022557,20292,19747,0.1372648497,0.1336008011,10876,13595,0.07357049604,0.09197867475
Schwarzwald-Baar,286,BW,162758,122862,121490,121521,0.7548753364,44188,32317,0.3637171784,0.2659375746,21995,25805,0.1810437073,0.2123501288,2757,3062,0.02269322578,0.025197291,14692,16181,0.1209317639,0.1331539405,,,,,16747,19692,0.1378467364,0.1620460661,12794,13101,0.1053090789,0.1078085269,8317,11363,0.06845830933,0.09350647213
Konstanz,287,BW,206009,157579,156283,156394,0.7649131834,53360,36208,0.3414318896,0.2315178332,31486,32655,0.20146785,0.2087995703,5591,5804,0.03577484435,0.03711139814,28142,32913,0.1800707691,0.21044925,,,,,17047,23509,0.1090777628,0.1503190659,13487,13341,0.08629857374,0.08530378403,7170,11964,0.0458783105,0.07649909843
Waldshut,288,BW,177276,135784,134471,134606,0.7659468851,45192,35474,0.3360724617,0.2635395153,34359,30700,0.255512341,0.2280730428,3593,3884,0.02671951573,0.02885458301,20590,23206,0.1531185163,0.1723994473,,,,,10186,18356,0.07574867444,0.136368364,11406,11251,0.08482126258,0.08358468419,9145,11735,0.06800722832,0.08718036343
Reutlingen,289,BW,199189,153820,152476,152575,0.7722313983,49631,39505,0.3255004066,0.2589218417,27236,31535,0.1786248328,0.2066852368,6169,5081,0.04045882631,0.03330165492,25399,24197,0.1665770351,0.158590857,,,,,20411,25288,0.13386369,0.1657414386,15354,15651,0.1006978147,0.1025790595,8276,11318,0.05427739448,0.07417991152
Tübingen,290,BW,198791,160843,159627,159779,0.809106046,43021,34773,0.2695095441,0.217631854,28981,32577,0.1815544989,0.2038878701,7525,8231,0.0471411478,0.05151490496,40979,37424,0.256717222,0.2342235212,,,,,15060,22678,0.09434494165,0.1419335457,12485,12549,0.07821358542,0.07853973301,11576,11547,0.07251906006,0.07226857096
Ulm,291,BW,223376,177563,175995,176154,0.7949063463,57611,46806,0.3273445268,0.265710685,32177,36415,0.1828290576,0.2067225269,4602,5376,0.02614847013,0.03051875064,33010,31237,0.1875621467,0.1773277927,,,,,19745,25385,0.1121906872,0.144106861,15930,16045,0.09051393505,0.09108507329,12920,14890,0.07341117645,0.08452831046
Biberach,292,BW,168376,132728,131509,131566,0.7882833658,46193,40205,0.3512535264,0.3055880699,24467,23064,0.1860481032,0.1753036499,2060,2962,0.01566432716,0.02251341532,17854,18006,0.1357625714,0.1368590669,,,,,12987,19093,0.09875369747,0.1451210799,13384,14216,0.1017725023,0.1080522323,14564,14020,0.1107452722,0.1065624857
Bodensee,293,BW,174430,137861,136750,136841,0.7903514304,41622,36568,0.3043656307,0.2672298507,28500,26988,0.2084095064,0.1972215929,3705,3905,0.02709323583,0.02853676895,23384,23635,0.1709981718,0.1727187027,,,,,16751,21610,0.1224936015,0.1579205063,12584,11916,0.09202193784,0.08707916487,10204,12219,0.0746179159,0.08929341352
Ravensburg,294,BW,187817,147045,145933,145975,0.7829163494,44591,38922,0.3055580301,0.2666346977,20128,27752,0.1379263086,0.1901147457,4364,4735,0.02990413409,0.03243706114,30745,25538,0.2106788732,0.174947765,,,,,20932,21738,0.1434356862,0.1489159103,11730,12651,0.08037935217,0.08666552492,13443,14639,0.09211761562,0.1002842953
Zollernalb - Sigmaringen,295,BW,182648,138085,136395,136540,0.7560170382,41106,39332,0.3013746838,0.2880621063,24968,26716,0.1830565637,0.1956642742,2848,3540,0.02088053081,0.02592646843,23118,15503,0.1694930166,0.1135418192,,,,,18682,23201,0.1369698303,0.1699209023,15553,16476,0.1140291066,0.1206679361,10120,11772,0.07419626819,0.08621649334
Saarbrücken,296,SL,192929,142719,140393,140464,0.7397488195,35252,28798,0.2510951401,0.2050205035,51749,53532,0.3686009986,0.3811083267,8708,13481,0.06202588448,0.09597476934,11141,,0.07935580834,,,,,,11647,16437,0.08295997664,0.1170193074,12569,13005,0.08952725563,0.09258600068,9327,15211,0.06643493621,0.1082910924
Saarlouis,297,SL,203279,159175,156117,156273,0.7830371066,43669,38084,0.2797196974,0.2437017271,57353,56920,0.367371907,0.3642343847,8405,10512,0.05383782676,0.06726689831,7381,,0.04727864358,,,,,,12777,18871,0.08184246431,0.1207566246,15111,15651,0.09679279002,0.1001516577,11421,16235,0.07315667096,0.1038887076
St. Wendel,298,SL,173074,139808,136954,137009,0.8077931983,43923,36246,0.3207135242,0.2645519637,48132,51223,0.3514464711,0.3738659504,5782,7883,0.04221855514,0.05753636622,5734,,0.04186807249,,,,,,11355,14915,0.08291105043,0.1088614617,12339,12899,0.09009594462,0.09414709983,9689,13843,0.070746382,0.1010371581
Homburg,299,SL,185941,142296,139611,139885,0.7652750066,36474,32006,0.2612544857,0.2288022304,51089,52092,0.365938214,0.3723916074,7313,9247,0.05238125936,0.06610429996,6824,,0.04887867002,,,,,,11015,15716,0.07889779459,0.1123494299,16209,16066,0.1161011668,0.1148514851,10687,14758,0.07654840951,0.1055009472
